framework,browser,action,board,min,max,mean,median,standardabweichung
React,chromium,task-move-between-columns,Board 4 (1000 Tasks),74.6,343.0,147.15,139.4,54.42
React,chromium,board-switch,Board 1 (Leer),4.9,23.9,11.34,11.25,4.37
React,chromium,board-switch,Board 2 (10 Tasks),10.3,35.0,15.86,14.1,5.74
React,chromium,board-switch,Board 3 (100 Tasks),29.6,121.1,51.98,46.95,19.66
React,chromium,board-switch,Board 4 (1000 Tasks),214.3,449.8,302.27,289.15,56.29
React,chromium,initial-load-fcp,Initial Load,36.0,84.0,59.1,56.0,12.2
React,chromium,initial-load-lcp,Initial Load,36.0,84.0,59.1,56.0,12.2
React,firefox,task-create,Board 1 (Leer),9.0,42.0,26.3,26.0,9.16
React,firefox,task-create,Board 2 (10 Tasks),11.0,82.0,29.48,26.5,14.41
React,firefox,task-create,Board 3 (100 Tasks),13.0,115.0,48.88,40.0,25.65
React,firefox,task-create,Board 4 (1000 Tasks),78.0,327.0,166.42,162.5,49.37
React,firefox,task-edit,Board 2 (10 Tasks),7.0,59.0,21.88,19.5,11.75
React,firefox,task-edit,Board 3 (100 Tasks),16.0,80.0,39.02,39.0,15.77
React,firefox,task-edit,Board 4 (1000 Tasks),68.0,388.0,174.3,177.0,71.12
React,firefox,task-delete,Board 2 (10 Tasks),11.0,52.0,22.82,21.0,9.8
React,firefox,task-delete,Board 3 (100 Tasks),14.0,122.0,40.38,34.5,20.33
React,firefox,task-delete,Board 4 (1000 Tasks),121.0,881.0,255.35,195.5,153.87
React,firefox,task-move-within-column,Board 2 (10 Tasks),8.0,48.0,27.1,26.5,11.71
React,firefox,task-move-within-column,Board 3 (100 Tasks),21.0,127.0,52.0,51.5,22.5
React,firefox,task-move-within-column,Board 4 (1000 Tasks),63.0,550.0,206.38,179.0,131.23
React,firefox,task-move-between-columns,Board 2 (10 Tasks),9.0,47.0,25.08,26.0,10.32
React,firefox,task-move-between-columns,Board 3 (100 Tasks),14.0,76.0,33.25,31.5,15.22
React,firefox,task-move-between-columns,Board 4 (1000 Tasks),65.0,5791.0,304.92,159.0,891.9
React,firefox,board-switch,Board 1 (Leer),4.0,67.0,14.72,13.0,9.83
React,firefox,board-switch,Board 2 (10 Tasks),23.0,265.0,60.9,52.5,45.4
React,firefox,board-switch,Board 3 (100 Tasks),67.0,268.0,115.68,102.5,42.49
React,firefox,board-switch,Board 4 (1000 Tasks),289.0,7852.0,1120.4,782.5,1294.92
React,firefox,initial-load-fcp,Initial Load,135.0,455.0,267.15,255.5,77.2
React,firefox,initial-load-lcp,Initial Load,135.0,455.0,267.15,255.5,77.2
React,webkit,task-create,Board 1 (Leer),7.0,51.0,20.95,19.0,9.59
React,webkit,task-create,Board 2 (10 Tasks),6.0,80.0,26.75,24.5,14.23
React,webkit,task-create,Board 3 (100 Tasks),15.0,147.0,46.8,38.5,28.19
React,webkit,task-create,Board 4 (1000 Tasks),81.0,467.0,203.08,178.0,89.14
React,webkit,task-edit,Board 2 (10 Tasks),8.0,47.0,20.18,18.5,7.51
React,webkit,task-edit,Board 3 (100 Tasks),15.0,101.0,34.25,32.5,16.02
React,webkit,task-edit,Board 4 (1000 Tasks),47.0,293.0,117.9,102.0,52.53
React,webkit,task-delete,Board 2 (10 Tasks),11.0,108.0,29.2,26.5,16.2
React,webkit,task-delete,Board 3 (100 Tasks),22.0,183.0,51.0,42.0,32.06
React,webkit,task-delete,Board 4 (1000 Tasks),91.0,645.0,180.8,143.0,102.69
React,webkit,task-move-within-column,Board 2 (10 Tasks),10.0,47.0,24.48,22.0,9.65
React,webkit,task-move-within-column,Board 3 (100 Tasks),13.0,103.0,40.38,34.5,20.37
React,webkit,task-move-within-column,Board 4 (1000 Tasks),81.0,287.0,144.12,132.5,54.54
React,webkit,task-move-between-columns,Board 2 (10 Tasks),7.0,49.0,23.2,21.5,10.2
React,webkit,task-move-between-columns,Board 3 (100 Tasks),12.0,426.0,38.17,25.0,63.79
React,webkit,task-move-between-columns,Board 4 (1000 Tasks),62.0,204.0,103.0,96.5,32.84
React,webkit,board-switch,Board 1 (Leer),8.0,58.0,23.48,22.5,11.12
React,webkit,board-switch,Board 2 (10 Tasks),15.0,248.0,60.9,49.5,46.22
React,webkit,board-switch,Board 3 (100 Tasks),76.0,291.0,149.35,138.5,48.0
React,webkit,board-switch,Board 4 (1000 Tasks),725.0,1641.0,1172.05,1150.0,223.78
React,webkit,initial-load-fcp,Initial Load,193.0,686.0,319.3,294.5,108.76
React,webkit,initial-load-lcp,Initial Load,206.0,867.0,354.6,327.0,124.21
